epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3703.13,1.66425,3.17599,1.61482,1.37144,0.53802,0.51988,0.50122,0.27049,0.52173,0.46878,0.43767,0.19602,1.54722,3.18508,1.53811,1.35315,0.000664615,0.000664615,0.000664615
2,5457.02,1.54768,2.93624,1.26467,1.30848,0.54469,0.54306,0.50596,0.27131,0.51441,0.4827,0.43506,0.19469,1.548,3.03739,1.49343,1.35923,0.00100179,0.00100179,0.00100179
3,6860.37,1.50211,2.86145,1.2158,1.28513,0.60321,0.55783,0.56822,0.3169,0.59878,0.51195,0.51759,0.24958,1.44052,2.73672,1.31258,1.29764,0.00100896,0.00100896,0.00100896
4,8210.05,1.43897,2.7377,1.15119,1.25343,0.63922,0.58311,0.61856,0.36538,0.63434,0.53098,0.56244,0.28294,1.33532,2.55876,1.19674,1.23136,0.000515,0.000515,0.000515
